job_title,Status,Publicatiedatum,Weergaven,Reacties,Referentie,Inschrijven voor,Op locatie,Startdatum,Looptijd,Aantal uur,Tarief,Contract,description,Geregistreerd sinds,Privacy partner,Privacy officer(s),Recruiters,Opdrachten,Laatste review,Geplaatst door,Eindklant
GIS specialist,Open (sinds 24-05-2023 13:41),24-05-2023 13:41,7 ingelogde gebruikers,0 reacties,AF 2023-02994,05-06-2023,"In overleg, Amsterdam, Hybride",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 36,Marktconform,Freelance / ad interim,"Voor eindklant p zoek naar een GIS specialist GEO Functieomschrijving: Wij zoeken een GIS specialist die samen met teamleden wilt werken aan diverse opdrachten op onze backlog rondom de ontwikkeling, beheer en gebruik van onze geografische beheerregisters van watersysteem-, drinkwater- en afvalwaterassets",,,,,,,,
Senior PowerBI specialist,Open (sinds 24-05-2023 13:17),24-05-2023 13:17,13 ingelogde gebruikers,0 reacties,,,"In overleg, omgeving Rotterdam",Zo snel mogelijk,6 maanden  (optie tot verlenging),40,in overleg,Freelance / ad interim,Senior PowerBI specialist | 40 uur | Omgeving Rotterdam | 6 maanden + optie tot verlenging | deels hybride mogelijk | Voor een bedrijf dat zich inzet binnen de energie transitie ben ik opzoek naar een senior PowerBI specialist met kennis en ervaring van SAP HANA en SQL server,,,,,,,,
Data Analist/ Data Engineer,Open (sinds 24-05-2023 13:15),24-05-2023 13:15,19 ingelogde gebruikers,1 reactie,031,25-05-2023,"In overleg, Naaldwijk",Zo snel mogelijk,7 maanden  (optie tot verlenging),32,in overleg,Freelance / ad interim,"Voor de medewerking aan de structurele ontsluiting en verwerking van 2 grote datasets die dagelijks ontvangen worden in xml (validatie tegen een schema) zoeken we een pro-actieve data analist die zeer ervaren is in dataverwerking (transformatie, validatie, unit – en acceptatietesten van de structurele verwerking) van deze sets naar parquet files met python code. De data analist is verder bekend met Python notebooks binnen Azure Databricks en zeer ervaren met SQL. FunctieomschrijvingData als fundament voor een nog sterkere positie als toezichthouder. Bij de AFM ontwikkel je innovatieve datagedreven toepassingen en creëer je inzichten waarmee je risico’s binnen de financiële markten identificeert en onderbouwt. De AFM transformeert zich momenteel naar een datagedreven toezichthouder. Dat geeft jou de kansom datagedreven toezicht binnen onze organisatie stevig op de kaart te zetten. Nu, maar ook in de toekomst, rekenen onze toezichthouders steeds vaker op jouw kwaliteiten. Met jouw analytische skills verwerk je data tot informatieproducten (dashboards, modellen, rapportages) en herontwerp je toezicht processen om hiervan gebruik te maken. Hierdoor wordt onze besluitvorming efficiënter, effectiever en robuuster. Je werkt in een multidisciplinair DevOps team (met toezichthouders, datamanagementspecialisten en data-engineers) aan uitdagende toezichtsvraagstukken. Hierbij lever je een bijdrage aan verschillende soorten toepassingen binnen verscheidene domeinen. Hiervoor gebruiken we onder andere de volgende tools, technieken en servicesMicrosoft Power BI; SQL Server Management Studio; Azure Databricks.In het snel veranderende Data Science werkveld is het erg belangrijk dat je je blijft ontwikkelen. Binnen de AFM faciliteren we dat door zowel externe training aan te bieden als intern kennis te delen. Door slim gebruik te maken van data, zowel binnen bestaande als nieuw te ontwikkelen toezicht processen, lever je als data-analist een belangrijke bijdrage aan de missie van de AFM: eerlijke, transparante financiële markten en duurzaam financieel welzijn. Functie-eisenJij ademt data. Met de juiste motivatie en kennis ben jij onze ideale pionier die in de rol van data-analist bij de AFM de weg vindt. Je bent nieuwsgierig en altijd op onderzoek uit naar nieuwe toepassingen. Tot in de kleinste details. En dus ben je bovenal nauwkeurig in wat je doet. Wij gaan ervan uit dat je:Universitair geschoold bent, dus een wo-diploma richting: Data Science, Econometrie, Wiskunde, Technische Bedrijfskunde of een vergelijkbare (bèta) studie met een sterke analytische of statistische component. Minimaal 5 jaar aantoonbare ervaring hebt met dataverwerking van datasets (ETL pre - processing, transformaties, unit- en acceptatietests) Conceptueel en analytisch zeer sterk bent, nieuwe informatie snel kan oppikken en hoofd van bijzaken weet te onderscheiden.• Probleemanalyses kunt vertalen naar datagedreven informatieproducten en processen ter ondersteuning van toezichtstaken. Affiniteit hebt met (toezicht op) de financiële sector. Bij voorkeur mondelinge en schriftelijke vaardigheden, zowel in de Engelse als de Nederlandse taal; internationale sollicitanten mogen reageren, maar moeten zich aan kunnen passen in een vrijwel volledig Nederlandssprekende organisatie.Beschikt over uitstekende communicatieve vaardigheden om met verscheidene stakeholdersefficiënt en effectief samen te kunnen werken. ArbeidsvoorwaardenHet betreft een opdracht voor 1 data analist/engineer met een gewenste startdatum is zsm en de opdracht loopt tot 31 december 2023. Mogelijkheid tot verlenging tot en met 30 juni 2024. De opdracht is parttime, te weten: 32 uur per week (maandag t/m donderdag).Er wordt verwacht dat je minimaal 2 dagen per week op kantoor aanwezig bent.",02 augustus 2011,Actief,"Ja, 1 geregistreerd",33,43 / 3373,goede communicatie,Iris van Arendonk,
Infrastructuur Engineer,Open (sinds 24-05-2023 12:19),24-05-2023 12:19,23 ingelogde gebruikers,0 reacties,,01-06-2023,"Ja, Driebergen",Zo snel mogelijk,12 maanden  (optie tot verlenging),36,per uur,Freelance / ad interim,"Voor onze opdrachtgever zijn we op zoek naar een Infrastructuur Engineer. Opdrachtomschrijving Bij het Cluster Platformen, in de Productlijn Infrastructure Services, beheren we de centrale Virtualisatie en Storage",,,,,,,,
Data Analyst/ Data Engineer,Open (sinds 24-05-2023 11:11),24-05-2023 11:11,20 ingelogde gebruikers,2 reacties,AD,26-05-2023,"In overleg, Amsterdam",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 36,85 tot 105 per uur,Freelance / ad interim,"Description We are looking for a proactive data analyst with extensive experience in data processing. International applicants are encouraged to apply; however, it is essential that they can adapt to working in an organization where Dutch is the primary language of communication. The task of the data analyst is to assist in the structured extraction and processing of two large datasets received daily in XML format (with validation against a schema). The objective is to convert these datasets into Parquet files using Python code. In addition to performing transformations, validations, and unit tests for the structural processing of the data, it is important that the data analyst is familiar with Python Notebooks within Azure Databricks and has extensive experience with SQL. Job Description At the AFM, you have the opportunity to build an even stronger position as a regulator, with data as the foundation. As a data analyst, you will develop innovative data-driven applications and generate insights that help identify and substantiate risks within the financial markets. The AFM is currently undergoing a transformation into a data-driven regulator, and you will play a crucial role in embedding data-driven supervision within our organization. Both now and in the future, our regulators will increasingly rely on your skills. With your analytical abilities, you will transform data into valuable information products, such as dashboards, models, and reports. Additionally, you will contribute to the redesign of supervision processes to optimize their use of available data. This will make our decision-making more efficient, effective, and robust. Thus, you play an essential role in strengthening our organization and increasing the impact of our supervision. As a data analyst, you will be part of a multidisciplinary DevOps team, collaborating with regulators, data management specialists, and data engineers to tackle challenging supervisory issues. Your contribution will span across various domains, and you will work on diverse applications. For these tasks, we utilize various tools, techniques, and services, includingMicrosoft Power BI SQL Server Management Studio Azure DatabricksIn the rapidly evolving world of Data Science, continuous development is crucial. At the AFM, we strive to facilitate this development by offering both external training opportunities and promoting internal knowledge sharing. By intelligently utilizing data, both in existing supervisory processes and in the development of new processes, you, as a data analyst, make a valuable contribution to the AFM's mission: to create fair, transparent financial markets and sustainable financial well-being. Job Requirements As a data analyst at the AFM, you are driven by a passion for data. You are a pioneer who is constantly seeking new possibilities and applications. You are naturally curious and motivated to delve into even the smallest details. Accuracy is a quality that you hold in high regard. At the AFM, we place great value on your strong motivation and the right knowledge you possess. We are confident that these qualities will enable you to be successful as a data analyst. You are constantly looking for ways to explore and leverage the world of data, and you are determined to push boundaries. We assume that youHold a university degree (WO) in Data Science, Econometrics, Mathematics, Technical Business Administration, or a similar (STEM) field with a strong analytical or statistical component. Have a minimum of 5 years of proven experience in data processing of datasets (ETL pre-processing, transformations, unit and acceptance tests). Possess strong conceptual and analytical skills, with the ability to quickly grasp new information and distinguish between main and peripheral aspects. Can translate problem analyses into data-driven information products and processes to support supervisory tasks. Have affinity with (supervision of) the financial sector. Ideally, have proficiency in both written and spoken English and Dutch. International applicants are welcome to apply but should be able to adapt to a predominantly Dutch-speaking organization. Have excellent communication skills to collaborate efficiently and effectively with various stakeholders. ",06 november 2006,-,,41,38 / 2243,"Super leuk contact met Nick, opdracht gever deed er lang over om te beslissen. Ik ken YER al heel lang en het is een aangenaam bedrijf om mee te werken",YER IT Rotterdam,
Data Engineer DIA Domein Team,Open (sinds 24-05-2023 11:08),24-05-2023 11:08,23 ingelogde gebruikers,1 reactie,BBBH95636_1684916844,,"Ja, Utrecht",Zo snel mogelijk,2 jaar,36,per uur,Freelance / ad interim,"Voor de eindklant zijn wij op zoek naar een Data Engineer DIA Domein Team.Startdatum1-6-2023 Einddatum31-5-2025 Aantal uren per week36 uur LocatieUtrechtOpdrachtomschrijvingBinnen de afdeling Data, Informatie en Analytics (DIA) zijn DevOps teams actief aan het ontwikkelen voor de aan hen gekoppelde bedrijfsonderdelen. Voor 1 van de teams zoeken we een Data Engineer. Je draait mee in een bestaand DevOps team en neemt je eigen expertise mee. Met je collega's ben je verantwoordelijk voor de data en BI oplossingen en diensten ten behoeve van de ProRail organisatie. Jouw focus ligt op het ontwikkelen van nieuwe oplossingen en het beschikbaar houden van bestaande oplossingen, dus een combinatie van ontwikkelen en beheren. De bestaande oplossingen zijn veelal ontwikkeld in een ""klassieke"" BI omgeving genaamd SpoorKompas, nieuwe ontwikkelingen worden steeds meer gedaan in onze Big Data en Analytics Platform (BDAP). VerantwoordelijkhedenData, BI en Analytics spelen een grote rol bij veel van onze bedrijfsprocessen. Als Data Engineer werk je in een DevOps team aan BI en Big Data oplossingen voor een bedrijfsonderdeel van ProRail. Jij bent primair verantwoordelijk voor de (door)ontwikkeling, maar vanwege het multidisciplinaire werken binnen een DevOps team ben je ook betrokken bij het operations deel of analyse-aspecten van nieuwe oplossingen. We willen gegevens verwerken, opslaan en beschikbaar stellen. In BDAP gebruiken we de volgende technologieën: API's, Webservices, Azure Synapse Python en Azure DevOps. Voor de werkzaamheden in SpoorKompas wordt gebruik gemaakt van Informatica Powercenter op een MS SQL database. Voor de presentatie-laag worden zowel Cognos als Power BI gebruikt. Resultaat Het DevOps team waar je onderdeel van uit maakt is verantwoordelijk voor beheer en ontwikkelen. De ontwikkeling wordt gestuurd door de backlog, die beheerd wordt door de product owner. De product owner vertegenwoordigt het bedrijfsonderdeel waarvoor het DevOps team werkt.Eisen kandidaten* Een bachelor/master, bij voorkeur in IT of Bedrijfskunde. * Ervaring in BI en datawarehousing. * Ervaring met werken in een DevOps team. * Ervaring met het ontwikkelen van ETL componenten middels Informatica Powercenter * Ervaring met een public cloud provider. Azure zou mooi zijn. * Ervaring met databases, API ontwikkeling en programmeertalen zoals Python en Powershell. * De volgende ervaring is een pré: * Ervaring met bouw van rapportages in Cognos of Power BI. * informatie analyse en modellering * (geautomatiseerd) testen van BI en Big Data oplossingen * Je bent zelfstandig, verantwoordelijk en proactief en werkt goed samen met stakeholders.Omschrijving van de afdelingVoor jou als data engineer is er plek op de afdeling Data, Informatie en Analytics (DIA). Deze ICT afdeling van ongeveer 55 fte kent enkele DevOps teams, die elk een eigen klantgroep binnen ProRail bedienen. Daarnaast zijn er afzonderlijke teams voor technische ondersteuning, data governance en informatiemodellering. Er wordt gewerkt conform de agile aanpak van scrum en SAFe. Buiten de afdeling wordt veel samengewerkt met teams die, gebruikmakend van onze diensten, werken aan advanced analytics oplossingen.",25 september 2006,-,,24,90 / 10643,Goede communicatie.,Raya Al-Jazairy,ProRail
Senior Data Analist,Open (sinds 24-05-2023 10:57),24-05-2023 10:57,19 ingelogde gebruikers,3 reacties,562,25-05-2023,"In overleg, Regio Eindhoven",Zo snel mogelijk,6 maanden  (optie tot verlenging),32,in overleg,Freelance / ad interim,"Momenteel ben ik op zoek naar een Senior Data Analist die op korte termijn beschikbaar is voor de opvang van een zwangerschapsverlof. Je zal in deze opdracht werken aan een aantal Power BI dashboards die tijdens deze opdracht opgeleverd dienen te worden. Dit zijn dashboards die betrekking hebben op het service center van deze opdrachtgever. Het betreft een operationele afdeling (client service center) waar veel inbound telefoontjes en mailtjes binnenkomen. Je zal dus analyses gaan doen en dashboards bouwen omtrent refunds en promoties etc. Voor deze rol is het tevens belangrijk dat je een goede vertaalslag kan maken vanuit de techniek naar de business. Op zoek naarPower BI Python / (Py)Spark Analytics TranslationDetailsStart: z.s.m Looptijd: 6 maanden 32 uurBen of kom je op korte termijn beschikbaar, stuur me dan even een berichtje!",13 september 2021,-,,4,2 / 57,,Jeffrey Te,Broadwick
Python developer,Open (sinds 23-05-2023 20:37),23-05-2023 20:37,45 ingelogde gebruikers,1 reactie,,24-05-2023,"Ja, Arnhem ",Zo snel mogelijk,6 maanden  (optie tot verlenging),36,Marktconform,Freelance / ad interim,"Voor een gewaardeerde klant in het oosten van het land ben ik op zoek naar een Python developer!De software bestaat uit een geavanceerd algoritme geschreven in Python en user interfaces om deze data toegankelijk te maken voor engineers en projectmanagers.Uren per week36 LocatieArnhem, 2x per week op locatie DuurZSM tot 31-12-2023, optie tot verlenging TaalNederlandsNeed:Python, Docker, KubernetesPré's:FastAPI, C#, affiniteit met Data ScienceBij interesse, graag reageren met het CV en telefoonnummer en ik geef je dan zo spoedig mogelijk een telefoontje om de rol verder door te spreken!",06 januari 2015,-,,34,39 / 2949,Snelle opvolging. Open en eerlijke communicatie.,Claire Kuyper,
Java Fullstack Developer,Open (sinds 23-05-2023 16:44),23-05-2023 16:44,33 ingelogde gebruikers,1 reactie,LDB,30-06-2023,"In overleg, Omgeving Breda",Zo snel mogelijk,3 maanden,32 - 40,Marktconform,Freelance / ad interim," Aanvraag Lars den Besten - LDB /2023-05 /0023 Functie Java Full stack Developer Locatie Omgeving Breda, 3 dagen remote en 2 op locatie Startdatum Z.s.m. Periode3 maanden Inzet per week Minimaal 32 uur per weekFunctieomschrijving We zijn op zoek naar een ervaren Fullstack Developer om ons team te versterken en een prototype te ontwikkelen van een klikbare dummy met een meer interactieve kleine webapplicatie, inclusief authenticatie op basis van de interne standaarden. Je werkt nauw samen met het productteam om ervoor te zorgen dat het prototype voldoet aan de eisen van het project en op tijd wordt opgeleverd. De opdracht duurt maximaal 2 tot 3 maanden. WerkzaamhedenOntwerp en ontwikkel de softwarecomponenten van het klikbare dummy-prototype met behulp van op Java gebaseerde technologieën en implementatie van authenticatie; Nauw samenwerken met het productteam om vereisten te verzamelen en ervoor te zorgen dat het prototype voldoet aan de behoeften van het project: Creëer een interface tussen een “Configurator” en Open Banking. Wacht op reactie. Maak een interface naar AI. Stuur alle gegevens vanuit de “Configurator” en de Open Banking-interface naar de AI-modelinterface. Antwoord ontvangen (3 verschillende suggesties). Geef vervolgens AI Response dynamisch weer op een configurator-mockup. Om de toegang tot geprivilegieerde gebruikers op het intranet te beperken, hebben we een stabiele/beveiligde instelling nodig, authenticatie aan de voorkant van de prototypes volgens de richtlijnen van de organisatie (bijv. OICD). Het AI-model, documentatie van een Open Banking-verbinding (bestaat al in sommige markten).al verkrijgbaar. Er is al een server beschikbaar om op te werken. Natuurlijk mogen er ook altijd aanbevelingen worden gedaan.Verwerven en begrijpen van interfacespecificaties van Open Banking en het AI-model; Implementeer responsieve ontwerpprincipes om ervoor te zorgen dat het prototype is geoptimaliseerd voor mobiele en desktopapparaten; Schone, efficiënte en goed gedocumenteerde code schrijven die onderhoudbaar en schaalbaar is; Voer codereviews uit en geef feedback aan andere ontwikkelaars; Samenwerken met andere leden van het ontwikkelingsteam om ervoor te zorgen dat het prototype naar behoefte wordt geïntegreerd met andere systemen. Problemen oplossen en debuggen wanneer ze zich voordoen.Gevraagde competentiesBachelor's degree in Computer Science of aanverwante richting; 3+ jaar ervaring in op Java gebaseerde softwareontwikkeling; Ervaring met front-end webontwikkelingstechnologieën zoals HTML5, CSS3 en JavaScript; Ervaring met Java-frameworks zoals Spring en Hibernate; Ervaring met relationele databases zoals MySQL en Oracle; Ervaring met Agile softwareontwikkelingsmethodieken en agile waarden en mentaliteit; Sterk probleemoplossend vermogen en oog voor detail; Ervaring met GCDM authenticatie; Ervaring met ReactJS of andere moderne webframeworks Ervaring met AWS of andere cloudgebaseerde diensten; Ervaring met containerisatietechnologie zoals Docker; Inzicht in DevOps-praktijken en tooling; Python-ervaring; Kennis van Data Science; Vaardig in zakelijk Engels en Nederlands, zowel in woord als geschrift.Gevraagde persoonlijke kenmerkenDaadkrachtig Communicatief sterk Zelfstandig Pragmatisch Ondernemend Resultaatgericht TeamplayerMocht je voldoen aan dit profiel, dan zien wij graag jouw CV, beschikbaarheid, vakantieplannen en tarief tegemoet",09 juni 2011,-,,3,4 / 377,"Conspect is een zeer prettig bedrijf om voor te mogen werken. Dat begon al bij de eerste afspraak, ik had direct een leuke klik",Lars Den Besten,
Python Engineer (met kennis Data Science),Open (sinds 23-05-2023 15:39),23-05-2023 15:39,46 ingelogde gebruikers,2 reacties,Rens de Wit (REF FS),25-05-2023,"Ja, Gelderland",Zo snel mogelijk,6 maanden  (optie tot verlenging),36,per uur,Freelance / ad interim,Voor een van onze klanten zoeken wij een Senior Python Engineer met kennis van Data Science. Functie-eisen5+ jaar professionele ervaring als Python software engineer ,,,,,,,,
