job_title,Geregistreerd sinds,Privacy partner,Recruiters,Opdrachten,Laatste review,Geplaatst door,Status,Publicatiedatum,Weergaven,Reacties,Inschrijven voor,Op locatie,Startdatum,Looptijd,Aantal uur,Tarief,Contract,description,Referentie,Eindklant
Linux Server Specialist,26 mei 2016,-,4,14 / 1299,Nette reactie gehad.,4NG Staffing,Open (sinds 19-05-2023 15:23),19-05-2023 15:23,12 ingelogde gebruikers,0 reacties,10-06-2023,"In overleg, Heerlen",Zo snel mogelijk,3 maanden  (optie tot verlenging),32 - 40,Marktconform,Freelance / ad interim,"Voor onze eindklant zijn wij op zoek naar een Linux Server specialist. Werkzaamheden:Je bent verantwoordelijk voor het beschikbaar stellen van een gestandaardiseerde, robuuste, veilige en actuele Linux basisconfiguratie waarop de 'Verwerkingsplatform inrichter Linux’ in de klantketen een applicatie kan inrichten die deel uitmaakt van diens bedrijfsproces; Je richt je met name op het besturingssysteem zélf, waarbij Security Baseline Management, (Security) Patch Management, Update Management (van Agents of tooling), LifeCycle Management en (geautomatiseerde) standaard dienstverlening de focus hebben; Je bent verantwoordelijk voor de basisinrichting (ESX-VM-OS) en je bent de adviseur die helpt bij het configureren en het inrichten van de applicatie.Vereisten: Must havesKennis van Linux, Redhat Satellite en Update- en patch management; Kennis van Identy, Policy en Audit (IPA);Nice to havesErvaring met Python, Ansible, Puppet t.b.v. automatiseringswerkzaamheden Ervaring met Oracle (het team bestaat uit Linux en Oracle Specialisten).Beschikbaar: zo snel mogelijk (uiterlijk 15 juni)Uren per week: 32 tot 40 uurDuur: 3 tot 6 maanden met optie tot verlengingLocatie: 2 dagen op locatie in Heerlen, de rest remote Ben je beschikbaar? Stuur dan je CV, tarief, beschikbaarheid en vakantieplannen.",,
DevOps Engineer,07 februari 2020,-,3,6 / 6,,Bas van der Bijl,Open (sinds 19-05-2023 11:50),19-05-2023 11:50,34 ingelogde gebruikers,2 reacties,30-05-2023,"In overleg, Utrecht",Zo snel mogelijk,12 maanden  (optie tot verlenging),24 - 40,Marktconform,Freelance / ad interim,"Wij zijn voor een mooie klant van ons opzoek naar een DevOps Engineer. Het gaat om een freelance opdracht van 12 maanden met kans op verlenging. Ik ben opzoek naar een DevOps Engineer die ervaring heeft met cloud beheer, hosting (applicatie en data), Kubernetes, Linux RedHat, Elastic cloud on Kubernetes. Daarnaast hoort het schrijven van scripts in Powershell en Python er ook bij. Naast het bovenstaande is ervaring met security fundamentals zoals RBAC, LDAP, AD SAML nodig om de job goed uit te voeren.",CR/116111,
Software Developer -Office 365,25 januari 2022,-,8,54 / 353,"Snelle reacties, duidelijke communicatie",Georgios Apostolou,Open (sinds 19-05-2023 11:00),19-05-2023 11:00,20 ingelogde gebruikers,0 reacties,24-05-2023,"In overleg, Nieuwegein",Zo snel mogelijk,7 maanden  (optie tot verlenging),16 - 32,36 per uur,Freelance / ad interim,"Voor onze klant wij zoek naar een Software Developer die handige skills (hoeft geen expert te zijn) heeft met Office 365. Project doelstelling: Automatisering binnen (Office 365) op de afdeling productontwikkeling.WerkzaamhedenBouwen van dashboards in Office 365 in SharePoint bijvoorbeeld Power BI, power Apps, uitnutten van Office. Informatie ophalen bij diverse gebruikers om tot nieuwe Apps, dashboards en dergelijke te komen. Testen van de dashboards. In overleg opstellen van het ontwerpproces en het uitvoeringsproces. Implementeren van de gebouwde apps en dashboards binnen Renovatie Concepten en haar co-makers.Selectiecriteria HBO-ICT opleiding; Starter of 3 jaar werkervaring in soortgelijke functie; Affiniteit met software en programmeertalen en het leuk vinden om dingen uit te zoeken en te bouwen; Softwarekennis: Power Apps & Power Bi / Power Automate /Python / Office 365; Spreektaal: Nederlands. Opdrachtduur6 maanden, optie tot verlenging is afhankelijk hoe het zich ontwikkeld Aantal uren per week16 tot 32 uur WerktijdenIn overleg ",,
Office 365 Developer,,,,,,,Open (sinds 18-05-2023 09:33),18-05-2023 09:33,48 ingelogde gebruikers,1 reactie,21-05-2023,"In overleg, Utrecht ",Zo snel mogelijk,6 maanden  (optie tot verlenging),28 - 32,in overleg,Freelance / ad interim,Voor onze opdrachtgever in de bouw en infra zijn we op zoek naar een interim office 365 Developer. Het betreft een opdracht van 6 maanden met een verlenging voor 28-32uur in de week,,
Data Engineer,21 februari 2018,-,4,5 / 863,Snelle reactie,George Constantinescu,Open (sinds 19-05-2023 09:27),17-05-2023 20:56,69 ingelogde gebruikers,3 reacties,04-06-2023,"In overleg, Den Haag",Zo snel mogelijk,12 maanden  (optie tot verlenging),32 - 40,in overleg,Freelance / ad interim,"Currently, we are looking for an experienced Data Engineer for a contract role with one of our global clients. Role:Work together with the Solution and Data Architect to define the data strategy and design the next generation big data platform to support the digital marketing platform. Design and implement modern data pipelines to extract, clean and process data in batch and real-time from different data sources. Help establish best practices around data governance, data security and privacy (GDPR). Build robust, fault-tolerant data pipeline that cleans, transforms and aggregates un-organised data into databases or data sources.The ideal candidate must have 5 years minimum of experience in:Open Source Frameworks – Hadoop Design and coding skills in Python Data blending technology - Alteryx Reporting/visualization tools (e.g. Power BI or Spotfire or SAP Lumira, etc.) SQL based technologies (e.g. MSSQL, MySQL, PosgreSQL, etc.) RESTful API development AWS or Microsoft data stack (e.g. Azure Data Lake, Hadoop with Spark, Cosmo DB, MongoDB, Redis, Azure Blob stores, etc.)This vacancy is for independent applicants only. If you are interested, or if you know anyone else who may be interested, please send me a direct message. I look forward to receiving your applications.",,
Data Engineer,,,,,,,Open (sinds 17-05-2023 13:11),17-05-2023 13:11,71 ingelogde gebruikers,0 reacties,,"In overleg, Den Bosch",Zo snel mogelijk,6 maanden  (optie tot verlenging),32 - 40,in overleg,Freelance / ad interim,"Voor onze directe eindklant, zijn we per direct op zoek naar een Data Engineer, met kennis van Snowflake. Je komt te werken voor 1 van de 6 regionale netbeheerders in Nederland",,
Back-End Developer,11 maart 2007,-,31,42 / 7280,Snelle reactie,Marc Schaap,Open (sinds 17-05-2023 11:17),17-05-2023 11:17,121 ingelogde gebruikers,1 reactie,23-05-2023,"In overleg, Utrecht, remote",Zo snel mogelijk,18 maanden  (optie tot verlenging),36 - 40,in overleg,Freelance / ad interim,"Voor deze veelzijdige opdracht zijn wij op zoek naar twee ervaren Back-End Developers die het niet erg vinden om zo goed als remote te werken. Hero is trotse mantelpartij voor het Ministerie van Defensie. Als mantelpartij schakel je direct met de opdrachtgever. Er zit dus geen partij tussen. Hierdoor voorkom je ketenvorming en houd je de lijntjes kort. OmschrijvingVoor ons CD&E project zoeken wij 2x een back-end developer (2 FTE). Als developer werk je in een klein (scrum) team aan concept development en experimentation van een informatie- en analysesysteem voor missieplanning en tactische inzet van eenheden. De back-end developer zal zich bezighouden met het bouwen, testen en implementeren van nieuwe toepassingen, testen en verbeteren van bestaande back-end toepassingen en het vertalen van functionele wensen naar concrete technische oplossingen.AchtergrondHet project loopt al 5 jaar en het ontwikkelteam bestaat uit een product owner, een lead engineer, een UX-designer, 1 FE-developers en 2 BEdevelopers. Er is een vaste groep ontstaan van nauw betrokken gebruikers. EisenKandidaat heeft minimaal 4 jaar aantoonbare ervaring met algoritmiekontwikkeling in Python, C/C#/C++ of JAVA (wiskundige bewerkingen op datasets die te groot zijn voor hetwerkgeheugen, refactoring van prototypes en interfacen met externe modellen); Kandidaat heeft minimaal 4 jaar aantoonbare ervaring met Python, evenals NumPy en SciPy uitbreidingen, PEP8 conventies, REST interfacing en intefacing met SQL-databases ; Kandidaat heeft minimaal 3 jaar aantoonbare ervaring met interfacing met geografisch informatie systemen (GIS) en de bijbehorende open dataformats; Kandidaat heeft minimaal 2 jaar aantoonbare ervaring met Docker en Kubernetes.WensenKandidaat heeft bij voorkeur minimaal 2 jaar aantoonbare ervaring met fysisch-mathematische sensormodellen (propagatie van radio frequenties, radar en sonar); Kandidaat heeft bij voorkeur minimaal 2 jaar aantoonbare ervaring met Geoserver en NCWMS tooling en NetCDF dataformats; Kandidaat heeft bij voorkeur minimaal 2 jaar aantoonbare ervaring met Django frameworks; Kandidaat heeft bij voorkeur minimaal 2 jaar aantoonbare ervaring met Continuous Integration en Unittesten in een GIT-omgeving. ",,
RPA Specialist,25 september 2008,-,13,56 / 7755,"Snel en duidelijk overleg, erg prettig!",StarApple Interim,Open (sinds 16-05-2023 17:03),16-05-2023 17:03,33 ingelogde gebruikers,1 reactie,22-05-2023,"In overleg, Rotterdam",Zo snel mogelijk,12 maanden  (optie tot verlenging),24 - 36,per uur,Freelance / ad interim,"Jij bent van verder ontwikkelen. Dit doe je oppermachtig in een omgeving waar je ruimte krijgt om nieuwe ideeën aan te dragen en je werk naar eigen inzicht in te richten. Door gebruik te maken van de nieuwste technologieën bouw jij aan de toekomst. De toekomst van de stad Rotterdam en haar burgers. Functie Een RPA-specialist is een digitale duizendpoot die in nauwe samenwerking met alle disciplines en specialisten binnen het concern gerichte proces automatisering voor elkaar krijgt. Hiervoor bouwen deze specialisten zogeheten robots of beter ‘virtuele assistenten’ die vooral simpele administratieve handelingen met grote volumes wegwerken. Positionering Binnen S&O zijn diverse teams gepositioneerd waaronder Team CBS daarbinnen zijn diverse disciplines georganiseerd, waaronder het Center of excellence RPA en Robotic Process Automation (RPA) . De RPA-specialist maakt onderdeel uit van de discipline RPA Belangrijkste takenVisieHet bijdragen aan interne en externe communicatie rondom RPA binnen het concern.Het rapporteren over de KPI’s rondom RPA aan de stakeholders.Het interne team naar een hoger kennisniveau tillenProcesexpertiseVerantwoordelijk voor de service “maken en beheren van een virtuele assistent”Het begeleiden van het concern in het gebruik van het RPA-dienstverleningsproces in alle verschijningsvormen (waaronder factsheets, presentaties en documenten).Het uitvoeren van quality checkpoints tijdens de procesanalyse van een nieuwe virtuele assistent.Het ondersteunen van het concern bij het ontwikkelen van nieuwe ideeën door het organiseren van harvests.Technische expertise Het onderhouden en delen van actuele kennis over RPA in het algemeen en UiPath in het bijzonder. Het bouwen van nieuwe en beheren van bestaande virtuele assistenten. Het (laten) uitvoeren van quality checkpoints tijdens de realisatie van een nieuwe virtuele assistent. Het trainen en begeleiden van RPA developers in het bouwen in UiPath. Het implementeren en onderhouden van dashboards t.b.v. de KPI’s. Het onderhouden van de bibliotheek met concern breed herbruikbare componenten. Het ondersteunen van het concern bij het toetsen van de haalbaarheid van RPA op een proces, inclusief het beoordelen van de geschiktheid van specifieke applicaties. Het adviseren en begeleiden in het optimale gebruik van UiPath en de herbruikbare componenten.ResultatenCreëren en verbeteren van een ontwikkelstraat die efficiënt en effectief is ingericht en voldoet aan de kwaliteitsnormen/KPI’s; Analyseren van (werk)processen, zoeken naar automatiseringsbehoefte en advies geven aan organisatie over de inzet van virtuele assistenten; Ontwikkelde en beheerde Virtuele Assistenten. het begeleiden en trainen van junior ontwikkelaarsJouw profiel Je beschikt over een goed analytisch vermogen om problemen snel zelfstandig technisch te doorgronden en op te lossen.Je bent in staat om je kennis goed over te brengen teneinde interne junior ontwikkelaars klaar te stomen om het werk zelfstandig te kunnen uitvoeren. Tot slot ben je proactief en communicatief vaardig. EisenJe hebt minimaal een afgeronde hbo-opleiding; Je hebt minimaal 2 jaar ervaring met UiPath (UiPath Studio en UiPath Orchestrator), opgedaan in de afgelopen 4 jaar; Je hebt minimaal 1 jaar ervaring met Excel VBA, opgedaan in de afgelopen 2 jaar; Je hebt minimaal 1 jaar ervaring met Python of R, opgedaan in de afgelopen 2 jaar; Je bent gecertificeerd als Advanced UiPath Developer;WensenJe hebt ervaring bij een gemeente met meer dan 250.000 inwoners; Je hebt ervaring met Agile werken in een scrumteam; Je hebt ervaring met UiPath AI Center; Je hebt ervaring met Github, Bitbucket of Azure Devops.De afdeling RPA is een onderdeel van het team CBS (Concern BedrijfsvoeringSystemen). Het team CBS is onderdeel van de Afdeling Strategie & Ondersteuning, welke gepositioneerd is binnen de BCO (Bestuurs- en Concern Ondersteuning) van de Gemeente Rotterdam. Onze organisatie De backbone van de organisatie. Dat zijn wij.Bestuurs- en Concernondersteuning (BCO) is de Haarlemmerolie van de gemeentelijke organisatie. Wij zorgen ervoor dat ruim 14.000 collega’s en het college van burgemeester en wethouders elke dag het beste uit zichzelf kunnen halen voor de stad. We worden vaak de backbone van de gemeentelijke organisatie ‘het concern’ genoemd, in de praktijk is dat misschien zo, maar wij hebben slechts een bescheiden rol. Het zijn onze collega’s van andere organisatieonderdelen die wij in de schijnwerpers willen zetten zodat de stad op hen kan rekenen. Waar wij van zijn BCO is misschien wel de meest diverse club van het concern. Bij ons lopen advocaten, accountants, inkopers en IT’ers rond, maar ook loopbaancoaches, recruiters, evenementenorganisatoren, nieuwsmakers, bestuursvoorlichters en communicatieadviseurs. Samen vormen we de staforganisatie van de gemeente Rotterdam. Adviseren en faciliteren zit in ons DNA. Waar nodig innoveren we of stropen we de mouwen op en helpen we een handje mee. Wij zijn dus van heel veel en dat maakt het zo spannend om voor BCO te werken. Je werkt bij ons letterlijk in de haarvaten van de organisatie. Concreet gaan wij overjuridische, financiële en personeelszaken communicatie en bestuursvoorlichting leveranciersnetwerken en inkoopcontracten persoonlijke ontwikkeling en carrièrebegeleiding huisvesting en onderzoek ondersteunen en adviseren van het bestuur (B&W)Verdere informatieIn het kader van Anders werken wordt er voornamelijk vanuit huis gewerkt. Voor het vergaderen en digitaal ontmoeten wordt er gebruik gemaakt van MS Teams. Wanneer fysieke aanwezigheid benodigd is vindt dit voornamelijk plaatst op bovengenoemde locatie Week 21 op locatie of via MS Teams ",Fleur Ekhart,Gemeente Rotterdam
DevOps BI Ontwikkelaar,11 januari 2016,-,15,31 / 1443,"Goede vent! Eerlijk en open over zijn communicatie, klant en werkwijze. Transparantie is altijd de beste route",Tjen  van 't Hof,Open (sinds 16-05-2023 15:23),16-05-2023 15:23,33 ingelogde gebruikers,1 reactie,,Nee,Zo snel mogelijk,6 weken  (optie tot verlenging),32 - 40,Marktconform,Freelance / ad interim,"Voor een grote klant ben ik op zoek naar een ervaren DevOps BI Ontwikkelaar, je gaat je bezig houden met data transformatie door het verstandig combineren van data bronnen. Eisen vanuit de klantKennis en ervaring met Snowflake en Matillion Kennis en ervaring van Datawarehouses Kennis en ervaring met Python is een préBij interesse zie ik graag je CV en beschikbaarheid tegemoet.",,
Applicatieontwikkelaar sr,07 januari 2008,-,17,43 / 5532,Goed en informatief gesprek gehad met de Recruiter.,Rainier Resokario,Open (sinds 16-05-2023 15:17),16-05-2023 15:17,16 ingelogde gebruikers,0 reacties,25-05-2023,"In overleg, Apeldoorn",Zo snel mogelijk,7 maanden  (optie tot verlenging),36,in overleg,Freelance / ad interim,"Voor onze opdrachtgever zijn wij op zoek naar een Applicatieontwikkelaar Zelfstandig de OSS Open Formulieren op een dusdanige wijze onder architectuur en kwaliteitsraamwerken aan te passen, te testen, te valideren met de community, te demo'en en te releasen, dat het mogelijk wordt Design Systems (in ieder geval het Design System Bold) te gebruiken in Open Formulieren, zodat deze ingezet kan worden door alle gebruikers van Open Formulieren, waaronder de Belastingdienst. Gebruik op de bestaande manier dient onverminderd gegarandeerd te zijn. Prestatiedoelstelling is in augustus 2023 de aangepaste software in productie te hebben staan. Achtergrond opdracht De planning van de Belastingdienst geeft aan dat een eerste formulier op basis van Open Formulieren en Bold in september 2023 naar productie gebracht wordt. Deze opdracht bevindt zich op het kritieke pad voor de planning van de Belastingdienst. Functie-eisenUniversitair niveau Informatica; Aantoonbare ervaring met ontwikkelen aan de core van de OSS Open Formulieren en alle onderliggende componenten zoals gerealiseerd met behulp van onder andere Postgres, Django, form.io, Python en Docker. (Minimaal 2 jaar); Aantoonbare ervaring met het werken met betrokken software repositories, documenteren, doen van pull requests, (laten) testen, demo'en, packagen en uitleveren van de geraliseerde componenten binnen de OSS Open Formulieren. (Minimaal 2 jaar).Wensen CompetentiesGezochte medewerker is in staat te opereren binnen een klein team van betrokken specialisten, binnen een Agile omgeving, waarbij de bestaande architectuur en standaards van Open Formulieren gevolgd worden; Een goed begrip is noodzakelijk van wat erbij komt kijken een integrale aanpassing zoals deze door te voeren en in een relatief korte periode naar productie te brengen; Samenwerking met de teams DX Open Formulieren en Bold (beide binnen de afdeling Generiek Portaal) binnen de Belastingdienst is van groot belang om er zeker van zijn dat integratie van Bold na oplevering daadwerkelijk eenvoudig uit te voeren is. ",,de Belastingdienst
